config,case_id,case_name,expected,actual,correct,provider,confidence,is_novel,is_healthy,pattern_hint,completeness,conflicts
config_A,001,VM Stopped by User,diagnose,diagnose,True,rule_engine,1.0,False,False,exact,100.0,none
config_A,002,NSG Blocks RDP,diagnose,diagnose,True,rule_engine,1.0,False,False,exact,100.0,none
config_A,003,NSG Blocks SSH,diagnose,diagnose,True,rule_engine,1.0,False,False,exact,100.0,none
config_A,004,High CPU Saturation,diagnose,diagnose,True,rule_engine,1.0,False,False,exact,100.0,none
config_A,005,OS Disk Full,diagnose,diagnose,True,rule_engine,1.0,False,False,exact,100.0,none
config_A,006,Memory Exhaustion,diagnose,diagnose,True,rule_engine,1.0,False,False,exact,100.0,none
config_A,007,Boot BSOD,diagnose,diagnose,True,rule_engine,0.7,False,False,exact,100.0,major
config_A,008,Boot Kernel Panic,diagnose,diagnose,True,rule_engine,0.7,False,False,exact,100.0,major
config_A,009,VM Running No Heartbeat,diagnose_low_confidence,diagnose,False,rule_engine,0.85,False,False,exact,100.0,minor
config_A,010,Resource Health Unavailable,diagnose_low_confidence,diagnose,False,rule_engine,0.7,False,False,exact,100.0,major
config_A,011,Conflicting NSG Signals,diagnose_low_confidence,diagnose,False,rule_engine,1.0,False,False,exact,100.0,none
config_A,012,App Unhealthy VM Healthy,diagnose,diagnose,True,rule_engine,1.0,False,False,exact,100.0,none
config_A,013,Disk IO Saturation,diagnose,diagnose,True,rule_engine,1.0,False,False,exact,100.0,none
config_A,014,VM Deallocated,diagnose,diagnose,True,rule_engine,1.0,False,False,exact,100.0,none
config_A,015,Provisioning Failed,diagnose_low_confidence,diagnose,False,rule_engine,1.0,False,False,exact,100.0,none
config_A,016,Failed State Insufficient Data,abstain_request_next_check,abstain_request_next_check,True,rule_engine,0.6,False,False,exact,0.0,none
config_A,017,Platform Degradation,abstain_request_next_check,abstain_request_next_check,True,rule_engine,1.0,False,False,exact,100.0,none
config_A,018,Boot Stuck,diagnose,diagnose,True,rule_engine,0.7,False,False,exact,100.0,major
config_A,019,VM Agent Failed,diagnose_low_confidence,diagnose,False,rule_engine,1.0,False,False,exact,100.0,none
config_A,020,Monitor Agent Failed,diagnose_low_confidence,diagnose,False,rule_engine,1.0,False,False,exact,100.0,none
config_A,021,Healthy VM - All Green,diagnose,diagnose,True,rule_engine,0.7,False,True,none,100.0,none
config_A,022,Healthy VM - Low Load,diagnose,diagnose,True,rule_engine,0.7,False,True,none,100.0,none
config_A,023,Healthy VM - Normal Load,diagnose,diagnose,True,rule_engine,0.7,False,True,none,100.0,none
config_A,024,Healthy VM - High Load But Stable,diagnose,diagnose,True,rule_engine,0.7,False,True,none,100.0,none
config_A,025,Healthy VM - Recently Started,diagnose,diagnose,True,rule_engine,0.7,False,True,none,100.0,none
config_A,026,Missing Telemetry - Low Completeness,abstain_request_next_check,abstain_request_next_check,True,rule_engine,0.3,False,False,none,0.0,none
config_A,027,Missing Telemetry - No Metrics,abstain_request_next_check,abstain_request_next_check,True,rule_engine,0.3,False,False,none,0.0,none
config_A,028,Missing Telemetry - No Agent Data,abstain_request_next_check,abstain_request_next_check,True,rule_engine,0.3,False,False,none,0.0,none
config_A,029,Missing Telemetry - Critical Signals Unknown,abstain_request_next_check,abstain_request_next_check,True,rule_engine,0.3,False,False,none,0.0,none
config_A,030,Missing Telemetry - Partial Boot Data,abstain_request_next_check,abstain_request_next_check,True,rule_engine,0.3,False,False,none,0.0,none
config_A,031,Conflicting Signals - Power vs Metrics,abstain_request_next_check,abstain_request_next_check,True,rule_engine,0.34,False,False,exact,10.0,major
config_A,032,Conflicting Signals - Health vs Metrics,diagnose_low_confidence,diagnose_low_confidence,True,rule_engine,0.66,False,False,exact,90.0,major
config_A,033,Conflicting Signals - NSG Mismatch,diagnose_low_confidence,diagnose_low_confidence,True,rule_engine,0.66,False,False,none,90.0,none
config_A,034,Conflicting Signals - Agent vs Heartbeat,diagnose_low_confidence,diagnose,False,rule_engine,0.81,False,False,exact,90.0,minor
config_A,035,Conflicting Signals - App vs VM Health,diagnose_low_confidence,diagnose_low_confidence,True,rule_engine,0.66,False,False,exact,90.0,major
config_A,036,SSL Certificate Expiring Soon,diagnose,diagnose,True,rule_engine,1.0,False,False,exact,100.0,none
config_A,037,Azure Backup Job Failed,diagnose,diagnose,True,rule_engine,1.0,False,False,exact,100.0,none
config_A,038,VM Oversized - Rightsize Candidate,diagnose_low_confidence,diagnose_low_confidence,True,rule_engine,1.0,False,False,exact,100.0,none
config_A,039,High CPU Variation 1 (92.0%),diagnose,diagnose,True,rule_engine,0.7,False,False,none,100.0,none
config_A,040,High CPU Variation 2 (94.0%),diagnose,diagnose,True,rule_engine,0.7,False,False,none,100.0,none
config_A,041,High CPU Variation 3 (95.2%),diagnose,diagnose,True,rule_engine,1.0,False,False,exact,100.0,none
config_A,042,High CPU Variation 4 (96.0%),diagnose,diagnose,True,rule_engine,1.0,False,False,exact,100.0,none
config_A,043,High CPU Variation 5 (96.8%),diagnose,diagnose,True,rule_engine,1.0,False,False,exact,100.0,none
config_A,044,High CPU Variation 6 (97.5%),diagnose,diagnose,True,rule_engine,1.0,False,False,exact,100.0,none
config_A,045,High CPU Variation 7 (98.7%),diagnose,diagnose,True,rule_engine,1.0,False,False,exact,100.0,none
config_A,046,High CPU Variation 8 (99.0%),diagnose,diagnose,True,rule_engine,1.0,False,False,exact,100.0,none
config_A,047,Disk Full Variation 1 (91.0%),diagnose,diagnose,True,rule_engine,0.7,False,False,none,100.0,none
config_A,048,Disk Full Variation 2 (92.0%),diagnose,diagnose,True,rule_engine,0.7,False,False,none,100.0,none
config_A,049,Disk Full Variation 3 (93.0%),diagnose,diagnose,True,rule_engine,0.7,False,False,none,100.0,none
config_A,050,Disk Full Variation 4 (94.0%),diagnose,diagnose,True,rule_engine,0.7,False,False,none,100.0,none
config_A,051,Disk Full Variation 5 (95.0%),diagnose,diagnose,True,rule_engine,1.0,False,False,exact,100.0,none
config_A,052,Disk Full Variation 6 (96.0%),diagnose,diagnose,True,rule_engine,1.0,False,False,exact,100.0,none
config_A,053,Disk Full Variation 7 (97.0%),diagnose,diagnose,True,rule_engine,1.0,False,False,exact,100.0,none
config_A,054,Disk Full Variation 8 (97.5%),diagnose,diagnose,True,rule_engine,1.0,False,False,exact,100.0,none
config_A,055,Disk Full Variation 9 (98.0%),diagnose,diagnose,True,rule_engine,1.0,False,False,exact,100.0,none
config_A,056,Disk Full Variation 10 (99.0%),diagnose,diagnose,True,rule_engine,1.0,False,False,exact,100.0,none
config_A,057,Memory Exhaustion Variation 1 (93.0%),diagnose,diagnose,True,rule_engine,0.7,False,False,none,100.0,none
config_A,058,Memory Exhaustion Variation 2 (94.0%),diagnose,diagnose,True,rule_engine,0.7,False,False,none,100.0,none
config_A,059,Memory Exhaustion Variation 3 (95.0%),diagnose,diagnose,True,rule_engine,0.7,False,False,none,100.0,none
config_A,060,Memory Exhaustion Variation 4 (96.0%),diagnose,diagnose,True,rule_engine,1.0,False,False,exact,100.0,none
config_A,061,Memory Exhaustion Variation 5 (96.5%),diagnose,diagnose,True,rule_engine,1.0,False,False,exact,100.0,none
config_A,062,Memory Exhaustion Variation 6 (97.0%),diagnose,diagnose,True,rule_engine,1.0,False,False,exact,100.0,none
config_A,063,Memory Exhaustion Variation 7 (97.5%),diagnose,diagnose,True,rule_engine,1.0,False,False,exact,100.0,none
config_A,064,Memory Exhaustion Variation 8 (98.0%),diagnose,diagnose,True,rule_engine,1.0,False,False,exact,100.0,none
config_A,065,Memory Exhaustion Variation 9 (99.0%),diagnose,diagnose,True,rule_engine,1.0,False,False,exact,100.0,none
config_A,066,NSG Blocks RDP Variation 1,diagnose,diagnose,True,rule_engine,1.0,False,False,exact,100.0,none
config_A,067,NSG Blocks RDP Variation 2,diagnose,diagnose,True,rule_engine,1.0,False,False,exact,100.0,none
config_A,068,NSG Blocks RDP Variation 3,diagnose,diagnose,True,rule_engine,1.0,False,False,exact,100.0,none
config_A,069,NSG Blocks RDP Variation 4,diagnose,diagnose,True,rule_engine,1.0,False,False,exact,100.0,none
config_A,070,NSG Blocks RDP Variation 5,diagnose,diagnose,True,rule_engine,1.0,False,False,exact,100.0,none
config_A,071,NSG Blocks SSH Variation 1,diagnose,diagnose,True,rule_engine,1.0,False,False,exact,100.0,none
config_A,072,NSG Blocks SSH Variation 2,diagnose,diagnose,True,rule_engine,1.0,False,False,exact,100.0,none
config_A,073,NSG Blocks SSH Variation 3,diagnose,diagnose,True,rule_engine,1.0,False,False,exact,100.0,none
config_A,074,NSG Blocks SSH Variation 4,diagnose,diagnose,True,rule_engine,1.0,False,False,exact,100.0,none
