config,case_id,case_name,expected,actual,correct,is_novel,is_healthy,confidence
config_A_safe,001,VM Stopped by User,diagnose,diagnose,True,False,False,1.0
config_A_safe,002,NSG Blocks RDP,diagnose,diagnose,True,False,False,1.0
config_A_safe,003,NSG Blocks SSH,diagnose,diagnose,True,False,False,1.0
config_A_safe,004,High CPU Saturation,diagnose,diagnose,True,False,False,1.0
config_A_safe,005,OS Disk Full,diagnose,diagnose,True,False,False,1.0
config_A_safe,006,Memory Exhaustion,diagnose,diagnose,True,False,False,1.0
config_A_safe,007,Boot BSOD,diagnose,diagnose,True,False,False,0.7
config_A_safe,008,Boot Kernel Panic,diagnose,diagnose,True,False,False,0.7
config_A_safe,009,VM Running No Heartbeat,diagnose_low_confidence,diagnose,False,False,False,0.85
config_A_safe,010,Resource Health Unavailable,diagnose_low_confidence,diagnose,False,False,False,0.7
config_A_safe,011,Conflicting NSG Signals,diagnose_low_confidence,diagnose,False,False,False,1.0
config_A_safe,012,App Unhealthy VM Healthy,diagnose,diagnose,True,False,False,1.0
config_A_safe,013,Disk IO Saturation,diagnose,diagnose,True,False,False,1.0
config_A_safe,014,VM Deallocated,diagnose,diagnose,True,False,False,1.0
config_A_safe,015,Provisioning Failed,diagnose_low_confidence,diagnose,False,False,False,1.0
config_A_safe,016,Failed State Insufficient Data,abstain_request_next_check,abstain_request_next_check,True,False,False,0.6
config_A_safe,017,Platform Degradation,abstain_request_next_check,abstain_request_next_check,True,False,False,1.0
config_A_safe,018,Boot Stuck,diagnose,diagnose,True,False,False,0.7
config_A_safe,019,VM Agent Failed,diagnose_low_confidence,diagnose,False,False,False,1.0
config_A_safe,020,Monitor Agent Failed,diagnose_low_confidence,diagnose,False,False,False,1.0
config_A_safe,021,Healthy VM - All Green,diagnose,diagnose,True,False,True,0.7
config_A_safe,022,Healthy VM - Low Load,diagnose,diagnose,True,False,True,0.7
config_A_safe,023,Healthy VM - Normal Load,diagnose,diagnose,True,False,True,0.7
config_A_safe,024,Healthy VM - High Load But Stable,diagnose,diagnose,True,False,True,0.7
config_A_safe,025,Healthy VM - Recently Started,diagnose,diagnose,True,False,True,0.7
config_A_safe,026,Missing Telemetry - Low Completeness,abstain_request_next_check,abstain_request_next_check,True,False,False,0.3
config_A_safe,027,Missing Telemetry - No Metrics,abstain_request_next_check,abstain_request_next_check,True,False,False,0.3
config_A_safe,028,Missing Telemetry - No Agent Data,abstain_request_next_check,abstain_request_next_check,True,False,False,0.3
config_A_safe,029,Missing Telemetry - Critical Signals Unknown,abstain_request_next_check,abstain_request_next_check,True,False,False,0.3
config_A_safe,030,Missing Telemetry - Partial Boot Data,abstain_request_next_check,abstain_request_next_check,True,False,False,0.3
config_A_safe,031,Conflicting Signals - Power vs Metrics,abstain_request_next_check,abstain_request_next_check,True,False,False,0.34
config_A_safe,032,Conflicting Signals - Health vs Metrics,diagnose_low_confidence,diagnose_low_confidence,True,False,False,0.66
config_A_safe,033,Conflicting Signals - NSG Mismatch,diagnose_low_confidence,diagnose_low_confidence,True,False,False,0.66
config_A_safe,034,Conflicting Signals - Agent vs Heartbeat,diagnose_low_confidence,diagnose,False,False,False,0.81
config_A_safe,035,Conflicting Signals - App vs VM Health,diagnose_low_confidence,diagnose_low_confidence,True,False,False,0.66
config_A_safe,036,SSL Certificate Expiring Soon,diagnose,diagnose,True,False,False,1.0
config_A_safe,037,Azure Backup Job Failed,diagnose,diagnose,True,False,False,1.0
config_A_safe,038,VM Oversized - Rightsize Candidate,diagnose_low_confidence,diagnose_low_confidence,True,False,False,1.0
config_A_safe,039,High CPU Variation 1 (92.0%),diagnose,diagnose,True,False,False,0.7
config_A_safe,040,High CPU Variation 2 (94.0%),diagnose,diagnose,True,False,False,0.7
config_A_safe,041,High CPU Variation 3 (95.2%),diagnose,diagnose,True,False,False,1.0
config_A_safe,042,High CPU Variation 4 (96.0%),diagnose,diagnose,True,False,False,1.0
config_A_safe,043,High CPU Variation 5 (96.8%),diagnose,diagnose,True,False,False,1.0
config_A_safe,044,High CPU Variation 6 (97.5%),diagnose,diagnose,True,False,False,1.0
config_A_safe,045,High CPU Variation 7 (98.7%),diagnose,diagnose,True,False,False,1.0
config_A_safe,046,High CPU Variation 8 (99.0%),diagnose,diagnose,True,False,False,1.0
config_A_safe,047,Disk Full Variation 1 (91.0%),diagnose,diagnose,True,False,False,0.7
config_A_safe,048,Disk Full Variation 2 (92.0%),diagnose,diagnose,True,False,False,0.7
config_A_safe,049,Disk Full Variation 3 (93.0%),diagnose,diagnose,True,False,False,0.7
config_A_safe,050,Disk Full Variation 4 (94.0%),diagnose,diagnose,True,False,False,0.7
config_A_safe,051,Disk Full Variation 5 (95.0%),diagnose,diagnose,True,False,False,1.0
config_A_safe,052,Disk Full Variation 6 (96.0%),diagnose,diagnose,True,False,False,1.0
config_A_safe,053,Disk Full Variation 7 (97.0%),diagnose,diagnose,True,False,False,1.0
config_A_safe,054,Disk Full Variation 8 (97.5%),diagnose,diagnose,True,False,False,1.0
