config,case_id,case_name,expected,actual,correct,provider,confidence,is_novel,is_healthy,pattern_hint
config_C,001,VM Stopped by User,diagnose,diagnose,True,Ollama,1.0,False,False,exact
config_C,002,NSG Blocks RDP,diagnose,diagnose,True,Ollama,1.0,False,False,exact
config_C,003,NSG Blocks SSH,diagnose,diagnose,True,Ollama,1.0,False,False,exact
config_C,004,High CPU Saturation,diagnose,diagnose,True,Ollama,1.0,False,False,exact
config_C,005,OS Disk Full,diagnose,diagnose,True,Groq,1.0,False,False,exact
config_C,006,Memory Exhaustion,diagnose,diagnose_low_confidence,False,Ollama,1.0,False,False,exact
config_C,007,Boot BSOD,diagnose,diagnose_low_confidence,False,Ollama,0.7,False,False,exact
config_C,008,Boot Kernel Panic,diagnose,diagnose_low_confidence,False,Ollama,0.7,False,False,exact
config_C,009,VM Running No Heartbeat,diagnose_low_confidence,diagnose_low_confidence,True,Ollama,0.85,False,False,exact
config_C,010,Resource Health Unavailable,diagnose_low_confidence,diagnose_low_confidence,True,Ollama,0.7,False,False,exact
config_C,011,Conflicting NSG Signals,diagnose_low_confidence,diagnose,False,Ollama,1.0,False,False,exact
config_C,012,App Unhealthy VM Healthy,diagnose,diagnose,True,Ollama,1.0,False,False,exact
config_C,013,Disk IO Saturation,diagnose,diagnose_low_confidence,False,Ollama,1.0,False,False,exact
config_C,014,VM Deallocated,diagnose,diagnose,True,Ollama,1.0,False,False,exact
config_C,015,Provisioning Failed,diagnose_low_confidence,diagnose_low_confidence,True,Ollama,1.0,False,False,exact
config_C,016,Failed State Insufficient Data,abstain_request_next_check,abstain_request_next_check,True,Ollama,0.6,False,False,exact
config_C,017,Platform Degradation,abstain_request_next_check,abstain_request_next_check,True,Groq,1.0,False,False,exact
config_C,018,Boot Stuck,diagnose,diagnose_low_confidence,False,Ollama,0.7,False,False,exact
config_C,019,VM Agent Failed,diagnose_low_confidence,diagnose_low_confidence,True,Ollama,1.0,False,False,exact
config_C,020,Monitor Agent Failed,diagnose_low_confidence,diagnose,False,Ollama,1.0,False,False,exact
config_C,021,Healthy VM - All Green,diagnose,diagnose,True,Ollama,0.7,False,True,none
config_C,022,Healthy VM - Low Load,diagnose,diagnose,True,Ollama,0.7,False,True,none
config_C,023,Healthy VM - Normal Load,diagnose,diagnose,True,Ollama,0.7,False,True,none
config_C,024,Healthy VM - High Load But Stable,diagnose,diagnose,True,Ollama,0.7,False,True,none
config_C,025,Healthy VM - Recently Started,diagnose,diagnose,True,Ollama,0.7,False,True,none
config_C,026,Missing Telemetry - Low Completeness,abstain_request_next_check,abstain_request_next_check,True,Ollama,0.3,False,False,none
config_C,027,Missing Telemetry - No Metrics,abstain_request_next_check,abstain_request_next_check,True,Ollama,0.3,False,False,none
config_C,028,Missing Telemetry - No Agent Data,abstain_request_next_check,abstain_request_next_check,True,Ollama,0.3,False,False,none
config_C,029,Missing Telemetry - Critical Signals Unknown,abstain_request_next_check,abstain_request_next_check,True,Groq,0.3,False,False,none
config_C,030,Missing Telemetry - Partial Boot Data,abstain_request_next_check,abstain_request_next_check,True,Ollama,0.3,False,False,none
config_C,031,Conflicting Signals - Power vs Metrics,abstain_request_next_check,abstain_request_next_check,True,Ollama,0.34,False,False,exact
config_C,032,Conflicting Signals - Health vs Metrics,diagnose_low_confidence,diagnose,False,Ollama,0.66,False,False,exact
config_C,033,Conflicting Signals - NSG Mismatch,diagnose_low_confidence,diagnose,False,Ollama,0.66,False,False,none
config_C,034,Conflicting Signals - Agent vs Heartbeat,diagnose_low_confidence,diagnose_low_confidence,True,Ollama,0.81,False,False,exact
config_C,035,Conflicting Signals - App vs VM Health,diagnose_low_confidence,diagnose_low_confidence,True,Ollama,0.66,False,False,exact
config_C,036,SSL Certificate Expiring Soon,diagnose,diagnose,True,Ollama,1.0,False,False,exact
config_C,037,Azure Backup Job Failed,diagnose,diagnose,True,Ollama,1.0,False,False,exact
config_C,038,VM Oversized - Rightsize Candidate,diagnose_low_confidence,diagnose,False,Ollama,1.0,False,False,exact
config_C,039,High CPU Variation 1 (92.0%),diagnose,diagnose,True,Groq,0.7,False,False,none
config_C,040,High CPU Variation 2 (94.0%),diagnose,diagnose,True,Groq,0.7,False,False,none
config_C,041,High CPU Variation 3 (95.2%),diagnose,diagnose,True,Groq,1.0,False,False,exact
config_C,042,High CPU Variation 4 (96.0%),diagnose,diagnose,True,Groq,1.0,False,False,exact
config_C,043,High CPU Variation 5 (96.8%),diagnose,diagnose,True,Groq,1.0,False,False,exact
config_C,044,High CPU Variation 6 (97.5%),diagnose,diagnose,True,Groq,1.0,False,False,exact
config_C,045,High CPU Variation 7 (98.7%),diagnose,diagnose,True,Groq,1.0,False,False,exact
config_C,046,High CPU Variation 8 (99.0%),diagnose,diagnose,True,Groq,1.0,False,False,exact
config_C,047,Disk Full Variation 1 (91.0%),diagnose,diagnose,True,Groq,0.7,False,False,none
config_C,048,Disk Full Variation 2 (92.0%),diagnose,diagnose,True,Groq,0.7,False,False,none
config_C,049,Disk Full Variation 3 (93.0%),diagnose,diagnose,True,Groq,0.7,False,False,none
config_C,050,Disk Full Variation 4 (94.0%),diagnose,diagnose,True,Groq,0.7,False,False,none
config_C,051,Disk Full Variation 5 (95.0%),diagnose,diagnose,True,Groq,1.0,False,False,exact
config_C,052,Disk Full Variation 6 (96.0%),diagnose,diagnose,True,Groq,1.0,False,False,exact
config_C,053,Disk Full Variation 7 (97.0%),diagnose,diagnose,True,Groq,1.0,False,False,exact
config_C,054,Disk Full Variation 8 (97.5%),diagnose,diagnose,True,Groq,1.0,False,False,exact
config_C,055,Disk Full Variation 9 (98.0%),diagnose,diagnose,True,Groq,1.0,False,False,exact
config_C,056,Disk Full Variation 10 (99.0%),diagnose,diagnose,True,Groq,1.0,False,False,exact
config_C,057,Memory Exhaustion Variation 1 (93.0%),diagnose,diagnose,True,Groq,0.7,False,False,none
config_C,058,Memory Exhaustion Variation 2 (94.0%),diagnose,diagnose,True,Groq,0.7,False,False,none
config_C,059,Memory Exhaustion Variation 3 (95.0%),diagnose,diagnose,True,Groq,0.7,False,False,none
config_C,060,Memory Exhaustion Variation 4 (96.0%),diagnose,diagnose,True,Groq,1.0,False,False,exact
config_C,061,Memory Exhaustion Variation 5 (96.5%),diagnose,diagnose,True,Groq,1.0,False,False,exact
config_C,062,Memory Exhaustion Variation 6 (97.0%),diagnose,diagnose,True,Groq,1.0,False,False,exact
config_C,063,Memory Exhaustion Variation 7 (97.5%),diagnose,diagnose,True,Groq,1.0,False,False,exact
config_C,064,Memory Exhaustion Variation 8 (98.0%),diagnose,diagnose,True,Groq,1.0,False,False,exact
config_C,065,Memory Exhaustion Variation 9 (99.0%),diagnose,diagnose,True,Groq,1.0,False,False,exact
config_C,066,NSG Blocks RDP Variation 1,diagnose,diagnose,True,Groq,1.0,False,False,exact
config_C,067,NSG Blocks RDP Variation 2,diagnose,diagnose,True,Groq,1.0,False,False,exact
config_C,068,NSG Blocks RDP Variation 3,diagnose,diagnose,True,Ollama,1.0,False,False,exact
config_C,069,NSG Blocks RDP Variation 4,diagnose,diagnose,True,Groq,1.0,False,False,exact
config_C,070,NSG Blocks RDP Variation 5,diagnose,diagnose,True,Groq,1.0,False,False,exact
config_C,071,NSG Blocks SSH Variation 1,diagnose,diagnose,True,Groq,1.0,False,False,exact
config_C,072,NSG Blocks SSH Variation 2,diagnose,diagnose,True,Groq,1.0,False,False,exact
config_C,073,NSG Blocks SSH Variation 3,diagnose,diagnose,True,Groq,1.0,False,False,exact
config_C,074,NSG Blocks SSH Variation 4,diagnose,diagnose,True,Groq,1.0,False,False,exact
config_C,075,NSG Blocks SSH Variation 5,diagnose,diagnose,True,Groq,1.0,False,False,exact
config_C,076,SSL Expiry 0 Days Remaining,diagnose,diagnose,True,Groq,1.0,False,False,exact
config_C,077,SSL Expiry 1 Days Remaining,diagnose,diagnose,True,Groq,1.0,False,False,exact
config_C,078,SSL Expiry 3 Days Remaining,diagnose,diagnose,True,Ollama,1.0,False,False,exact
config_C,079,SSL Expiry 7 Days Remaining,diagnose,diagnose,True,Ollama,1.0,False,False,exact
config_C,080,SSL Expiry 14 Days Remaining,diagnose,diagnose,True,Ollama,1.0,False,False,exact
config_C,081,Backup Failure Variation 1,diagnose,diagnose,True,Ollama,1.0,False,False,exact
config_C,082,Backup Failure Variation 2,diagnose,diagnose,True,Groq,1.0,False,False,exact
config_C,083,Backup Failure Variation 3,diagnose,diagnose,True,Groq,1.0,False,False,exact
config_C,084,Backup Failure Variation 4,diagnose,diagnose,True,Groq,0.98,False,False,exact
config_C,085,Backup Failure Variation 5,diagnose,diagnose,True,Groq,1.0,False,False,exact
